RESORT	BUSINESS_DATE	CHAR_BUSINESS_DATE	MARKET_CODE	CF_MASTER_SEQ	GROUP_NAME	S_REV_MKT	S_DEF_ROOMS_MKT	S_FB_REV_MKT	S_MISC_REV_MKT	MKT_RESORT_ROOM	GUEST_MKT	TOT_ARR_MKT	PER_OCC_MKT	PER_DOUBLE_MKT	DOUBLE_OCC_MKT	SINGLE_OCC_MKT	GUEST_DAY	ARRIVAL_DAY	ARRIVAL_MKT	TOT_ARR_DAY	PER_OCC_DAY	PER_DOUBLE_OCC_DAY	SINGLE_OCC_DAY	S_MISC_REV_DAY	DAY_RESORT_ROOM	S_FB_REV_DAY	DOUBLE_OCC_DAY	S_REV_DAY	S_DEF_ROOMS_DAY	ARR_TODAY	NO_DEFINITE_ROOMS	IN_GUEST	OCC_SINGLE	DOUBLE_OCC	REVENUE	FB_REV	OTHER_REV	TOTAL_REVENUE	RESORT_ROOM	PER_OCC	GET_ARR	MULTI_OCC_PER
Hotel1	9-Jan-16	1/9/16	AR	AR	AR	551.47	0	0	1211.71	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	9-Jan-16	1/9/16	COMP	COMP	COMP	-179.96	142	0	456.74	23200	178	-1.2673239	0.612068966	0.13362069	31	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	9-Jan-16	1/9/16	CONT	CONT	CONT	398	2	0	61	23200	2	199	0.00862069	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	9-Jan-16	1/9/16	DISC	DISC	DISC	1249938.25	5238	0	102177.65	23200	9256	238.628914	22.5775862	13.4008621	3109	2129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	9-Jan-16	1/9/16	GASSOC	GASSOC	GASSOC	157818.46	418	0	1408.84	23200	414	377.556124	1.80172414	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	9-Jan-16	1/9/16	GCOR	GCOR	GCOR	623968.9	1960	107512.75	41328.99	23200	1975	318.35148	8.44827586	0.125	29	1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	9-Jan-16	1/9/16	GSMERF	GSMERF	GSMERF	3976	16	0	354	23200	22	248.5	0.068965517	0.025862069	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	9-Jan-16	1/9/16	HOUSE	HOUSE	HOUSE	-3499.84	121	424702.18	15916.72	23200	130	-28.924298	0.521551724	0.012931034	3	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	9-Jan-16	1/9/16	NEG	NEG	NEG	1169485.58	3821	1000	57131.61	23200	4022	306.067935	16.4698276	0.827586207	192	3629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	9-Jan-16	1/9/16	PSBY	PSBY	PSBY	0	0	0	256	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	9-Jan-16	1/9/16	QUAL	QUAL	QUAL	118645.94	460	0	5791.07	23200	676	257.925957	1.98275862	0.780172414	181	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	9-Jan-16	1/9/16	RETAIL	RETAIL	RETAIL	2293088.29	7507	0	107091.3	23200	14075	305.460009	32.3577586	19.8577586	4607	2900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	9-Jan-16	1/9/16	WHOL	WHOL	WHOL	86540.58	384	0	4934.27	23200	638	225.366094	1.65517241	0.961206897	223	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	10-Jan-16	1/10/16	AR	AR	AR	551.47	0	0	1211.71	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	10-Jan-16	1/10/16	COMP	COMP	COMP	-179.96	142	0	456.74	23200	178	-1.2673239	0.612068966	0.13362069	31	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	10-Jan-16	1/10/16	CONT	CONT	CONT	398	2	0	61	23200	2	199	0.00862069	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	10-Jan-16	1/10/16	DISC	DISC	DISC	1249938.25	5238	0	102177.65	23200	9256	238.628914	22.5775862	13.4008621	3109	2129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	10-Jan-16	1/10/16	GASSOC	GASSOC	GASSOC	157818.46	418	0	1408.84	23200	414	377.556124	1.80172414	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	10-Jan-16	1/10/16	GCOR	GCOR	GCOR	623968.9	1960	107512.75	41328.99	23200	1975	318.35148	8.44827586	0.125	29	1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	10-Jan-16	1/10/16	GSMERF	GSMERF	GSMERF	3976	16	0	354	23200	22	248.5	0.068965517	0.025862069	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	10-Jan-16	1/10/16	HOUSE	HOUSE	HOUSE	-3499.84	121	424702.18	15916.72	23200	130	-28.924298	0.521551724	0.012931034	3	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	10-Jan-16	1/10/16	NEG	NEG	NEG	1169485.58	3821	1000	57131.61	23200	4022	306.067935	16.4698276	0.827586207	192	3629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	10-Jan-16	1/10/16	PSBY	PSBY	PSBY	0	0	0	256	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	10-Jan-16	1/10/16	QUAL	QUAL	QUAL	118645.94	460	0	5791.07	23200	676	257.925957	1.98275862	0.780172414	181	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	10-Jan-16	1/10/16	RETAIL	RETAIL	RETAIL	2293088.29	7507	0	107091.3	23200	14075	305.460009	32.3577586	19.8577586	4607	2900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	10-Jan-16	1/10/16	WHOL	WHOL	WHOL	86540.58	384	0	4934.27	23200	638	225.366094	1.65517241	0.961206897	223	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	11-Jan-16	1/11/16	AR	AR	AR	551.47	0	0	1211.71	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	11-Jan-16	1/11/16	COMP	COMP	COMP	-179.96	142	0	456.74	23200	178	-1.2673239	0.612068966	0.13362069	31	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	11-Jan-16	1/11/16	CONT	CONT	CONT	398	2	0	61	23200	2	199	0.00862069	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	11-Jan-16	1/11/16	DISC	DISC	DISC	1249938.25	5238	0	102177.65	23200	9256	238.628914	22.5775862	13.4008621	3109	2129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	11-Jan-16	1/11/16	GASSOC	GASSOC	GASSOC	157818.46	418	0	1408.84	23200	414	377.556124	1.80172414	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	11-Jan-16	1/11/16	GCOR	GCOR	GCOR	623968.9	1960	107512.75	41328.99	23200	1975	318.35148	8.44827586	0.125	29	1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	11-Jan-16	1/11/16	GSMERF	GSMERF	GSMERF	3976	16	0	354	23200	22	248.5	0.068965517	0.025862069	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	11-Jan-16	1/11/16	HOUSE	HOUSE	HOUSE	-3499.84	121	424702.18	15916.72	23200	130	-28.924298	0.521551724	0.012931034	3	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	11-Jan-16	1/11/16	NEG	NEG	NEG	1169485.58	3821	1000	57131.61	23200	4022	306.067935	16.4698276	0.827586207	192	3629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	11-Jan-16	1/11/16	PSBY	PSBY	PSBY	0	0	0	256	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	11-Jan-16	1/11/16	QUAL	QUAL	QUAL	118645.94	460	0	5791.07	23200	676	257.925957	1.98275862	0.780172414	181	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	11-Jan-16	1/11/16	RETAIL	RETAIL	RETAIL	2293088.29	7507	0	107091.3	23200	14075	305.460009	32.3577586	19.8577586	4607	2900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	11-Jan-16	1/11/16	WHOL	WHOL	WHOL	86540.58	384	0	4934.27	23200	638	225.366094	1.65517241	0.961206897	223	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	12-Jan-16	1/12/16	AR	AR	AR	551.47	0	0	1211.71	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	12-Jan-16	1/12/16	COMP	COMP	COMP	-179.96	142	0	456.74	23200	178	-1.2673239	0.612068966	0.13362069	31	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	12-Jan-16	1/12/16	CONT	CONT	CONT	398	2	0	61	23200	2	199	0.00862069	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	12-Jan-16	1/12/16	DISC	DISC	DISC	1249938.25	5238	0	102177.65	23200	9256	238.628914	22.5775862	13.4008621	3109	2129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	12-Jan-16	1/12/16	GASSOC	GASSOC	GASSOC	157818.46	418	0	1408.84	23200	414	377.556124	1.80172414	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	12-Jan-16	1/12/16	GCOR	GCOR	GCOR	623968.9	1960	107512.75	41328.99	23200	1975	318.35148	8.44827586	0.125	29	1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	12-Jan-16	1/12/16	GSMERF	GSMERF	GSMERF	3976	16	0	354	23200	22	248.5	0.068965517	0.025862069	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	12-Jan-16	1/12/16	HOUSE	HOUSE	HOUSE	-3499.84	121	424702.18	15916.72	23200	130	-28.924298	0.521551724	0.012931034	3	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	12-Jan-16	1/12/16	NEG	NEG	NEG	1169485.58	3821	1000	57131.61	23200	4022	306.067935	16.4698276	0.827586207	192	3629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	12-Jan-16	1/12/16	PSBY	PSBY	PSBY	0	0	0	256	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	12-Jan-16	1/12/16	QUAL	QUAL	QUAL	118645.94	460	0	5791.07	23200	676	257.925957	1.98275862	0.780172414	181	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	12-Jan-16	1/12/16	RETAIL	RETAIL	RETAIL	2293088.29	7507	0	107091.3	23200	14075	305.460009	32.3577586	19.8577586	4607	2900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	12-Jan-16	1/12/16	WHOL	WHOL	WHOL	86540.58	384	0	4934.27	23200	638	225.366094	1.65517241	0.961206897	223	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	13-Jan-16	1/13/16	AR	AR	AR	551.47	0	0	1211.71	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	13-Jan-16	1/13/16	COMP	COMP	COMP	-179.96	142	0	456.74	23200	178	-1.2673239	0.612068966	0.13362069	31	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	13-Jan-16	1/13/16	CONT	CONT	CONT	398	2	0	61	23200	2	199	0.00862069	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	13-Jan-16	1/13/16	DISC	DISC	DISC	1249938.25	5238	0	102177.65	23200	9256	238.628914	22.5775862	13.4008621	3109	2129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	13-Jan-16	1/13/16	GASSOC	GASSOC	GASSOC	157818.46	418	0	1408.84	23200	414	377.556124	1.80172414	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	13-Jan-16	1/13/16	GCOR	GCOR	GCOR	623968.9	1960	107512.75	41328.99	23200	1975	318.35148	8.44827586	0.125	29	1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	13-Jan-16	1/13/16	GSMERF	GSMERF	GSMERF	3976	16	0	354	23200	22	248.5	0.068965517	0.025862069	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	13-Jan-16	1/13/16	HOUSE	HOUSE	HOUSE	-3499.84	121	424702.18	15916.72	23200	130	-28.924298	0.521551724	0.012931034	3	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	13-Jan-16	1/13/16	NEG	NEG	NEG	1169485.58	3821	1000	57131.61	23200	4022	306.067935	16.4698276	0.827586207	192	3629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	13-Jan-16	1/13/16	PSBY	PSBY	PSBY	0	0	0	256	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	13-Jan-16	1/13/16	QUAL	QUAL	QUAL	118645.94	460	0	5791.07	23200	676	257.925957	1.98275862	0.780172414	181	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	13-Jan-16	1/13/16	RETAIL	RETAIL	RETAIL	2293088.29	7507	0	107091.3	23200	14075	305.460009	32.3577586	19.8577586	4607	2900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	13-Jan-16	1/13/16	WHOL	WHOL	WHOL	86540.58	384	0	4934.27	23200	638	225.366094	1.65517241	0.961206897	223	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	14-Jan-16	1/14/16	AR	AR	AR	551.47	0	0	1211.71	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	14-Jan-16	1/14/16	COMP	COMP	COMP	-179.96	142	0	456.74	23200	178	-1.2673239	0.612068966	0.13362069	31	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	14-Jan-16	1/14/16	CONT	CONT	CONT	398	2	0	61	23200	2	199	0.00862069	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	14-Jan-16	1/14/16	DISC	DISC	DISC	1249938.25	5238	0	102177.65	23200	9256	238.628914	22.5775862	13.4008621	3109	2129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	14-Jan-16	1/14/16	GASSOC	GASSOC	GASSOC	157818.46	418	0	1408.84	23200	414	377.556124	1.80172414	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	14-Jan-16	1/14/16	GCOR	GCOR	GCOR	623968.9	1960	107512.75	41328.99	23200	1975	318.35148	8.44827586	0.125	29	1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	14-Jan-16	1/14/16	GSMERF	GSMERF	GSMERF	3976	16	0	354	23200	22	248.5	0.068965517	0.025862069	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	14-Jan-16	1/14/16	HOUSE	HOUSE	HOUSE	-3499.84	121	424702.18	15916.72	23200	130	-28.924298	0.521551724	0.012931034	3	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	14-Jan-16	1/14/16	NEG	NEG	NEG	1169485.58	3821	1000	57131.61	23200	4022	306.067935	16.4698276	0.827586207	192	3629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	14-Jan-16	1/14/16	PSBY	PSBY	PSBY	0	0	0	256	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	14-Jan-16	1/14/16	QUAL	QUAL	QUAL	118645.94	460	0	5791.07	23200	676	257.925957	1.98275862	0.780172414	181	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	14-Jan-16	1/14/16	RETAIL	RETAIL	RETAIL	2293088.29	7507	0	107091.3	23200	14075	305.460009	32.3577586	19.8577586	4607	2900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	14-Jan-16	1/14/16	WHOL	WHOL	WHOL	86540.58	384	0	4934.27	23200	638	225.366094	1.65517241	0.961206897	223	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	15-Jan-16	1/15/16	AR	AR	AR	551.47	0	0	1211.71	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	15-Jan-16	1/15/16	COMP	COMP	COMP	-179.96	142	0	456.74	23200	178	-1.2673239	0.612068966	0.13362069	31	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	15-Jan-16	1/15/16	CONT	CONT	CONT	398	2	0	61	23200	2	199	0.00862069	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	15-Jan-16	1/15/16	DISC	DISC	DISC	1249938.25	5238	0	102177.65	23200	9256	238.628914	22.5775862	13.4008621	3109	2129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	15-Jan-16	1/15/16	GASSOC	GASSOC	GASSOC	157818.46	418	0	1408.84	23200	414	377.556124	1.80172414	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	15-Jan-16	1/15/16	GCOR	GCOR	GCOR	623968.9	1960	107512.75	41328.99	23200	1975	318.35148	8.44827586	0.125	29	1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	15-Jan-16	1/15/16	GSMERF	GSMERF	GSMERF	3976	16	0	354	23200	22	248.5	0.068965517	0.025862069	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	15-Jan-16	1/15/16	HOUSE	HOUSE	HOUSE	-3499.84	121	424702.18	15916.72	23200	130	-28.924298	0.521551724	0.012931034	3	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	15-Jan-16	1/15/16	NEG	NEG	NEG	1169485.58	3821	1000	57131.61	23200	4022	306.067935	16.4698276	0.827586207	192	3629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	15-Jan-16	1/15/16	PSBY	PSBY	PSBY	0	0	0	256	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	15-Jan-16	1/15/16	QUAL	QUAL	QUAL	118645.94	460	0	5791.07	23200	676	257.925957	1.98275862	0.780172414	181	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	15-Jan-16	1/15/16	RETAIL	RETAIL	RETAIL	2293088.29	7507	0	107091.3	23200	14075	305.460009	32.3577586	19.8577586	4607	2900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	15-Jan-16	1/15/16	WHOL	WHOL	WHOL	86540.58	384	0	4934.27	23200	638	225.366094	1.65517241	0.961206897	223	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	16-Jan-16	1/16/16	AR	AR	AR	551.47	0	0	1211.71	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	16-Jan-16	1/16/16	COMP	COMP	COMP	-179.96	142	0	456.74	23200	178	-1.2673239	0.612068966	0.13362069	31	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	16-Jan-16	1/16/16	CONT	CONT	CONT	398	2	0	61	23200	2	199	0.00862069	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	16-Jan-16	1/16/16	DISC	DISC	DISC	1249938.25	5238	0	102177.65	23200	9256	238.628914	22.5775862	13.4008621	3109	2129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	16-Jan-16	1/16/16	GASSOC	GASSOC	GASSOC	157818.46	418	0	1408.84	23200	414	377.556124	1.80172414	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	16-Jan-16	1/16/16	GCOR	GCOR	GCOR	623968.9	1960	107512.75	41328.99	23200	1975	318.35148	8.44827586	0.125	29	1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	16-Jan-16	1/16/16	GSMERF	GSMERF	GSMERF	3976	16	0	354	23200	22	248.5	0.068965517	0.025862069	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	16-Jan-16	1/16/16	HOUSE	HOUSE	HOUSE	-3499.84	121	424702.18	15916.72	23200	130	-28.924298	0.521551724	0.012931034	3	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	16-Jan-16	1/16/16	NEG	NEG	NEG	1169485.58	3821	1000	57131.61	23200	4022	306.067935	16.4698276	0.827586207	192	3629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	16-Jan-16	1/16/16	PSBY	PSBY	PSBY	0	0	0	256	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	16-Jan-16	1/16/16	QUAL	QUAL	QUAL	118645.94	460	0	5791.07	23200	676	257.925957	1.98275862	0.780172414	181	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	16-Jan-16	1/16/16	RETAIL	RETAIL	RETAIL	2293088.29	7507	0	107091.3	23200	14075	305.460009	32.3577586	19.8577586	4607	2900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	16-Jan-16	1/16/16	WHOL	WHOL	WHOL	86540.58	384	0	4934.27	23200	638	225.366094	1.65517241	0.961206897	223	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	17-Jan-16	1/17/16	AR	AR	AR	551.47	0	0	1211.71	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	17-Jan-16	1/17/16	COMP	COMP	COMP	-179.96	142	0	456.74	23200	178	-1.2673239	0.612068966	0.13362069	31	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	17-Jan-16	1/17/16	CONT	CONT	CONT	398	2	0	61	23200	2	199	0.00862069	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hotel1	17-Jan-16	1/17/16	DISC	DISC	DISC	1249938.25	5238	0	102177.65	23200	9256	238.628914	22.5775862	13.4008621	3109	2129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
